DISTRICT,XBLOCK,YBLOCK
6,405676,135066
1,398508,136963
6,402595,132803
4,399520,143789
7,402335,132676
3,397423,139708
2,396217.89,138008.23
4,397641,141139
1,399760,135503
4,395986,141516
1,399622,134352
1,398358,137118
6,404370,136293
3,397229,139084
1,397700,136885
3,398530,138064
6,406774,137203
2,393930,143053
6,404450,132969
1,400846,135397
1,400930,136474
6,405970,137581
3,397117,138916
7,401485,131320
5,402353,136427
3,397229,138854
1,399210.55,134299.54
6,401323,133209
5,398654,138409
3,397004,138511
2,395002,144197
7,399819,128990
5,400003,137674
1,398186,137185
6,403516,133455
1,399886,134962
5,398654,138409
4,398193,142564
3,397003,138387
2,396167,136956
3,397509,140198
1,400437,137118
5,400965,138212
3,397655,139302
2,394741,137195
2,396232,137746
3,397829,137265
5,400251,140544
2,395858,136720
1,400790,135269
2,395218,145920
1,399622,134352
5,401740,137077
1,399114,133658
5,399337,138221
2,396559,137255
4,397765,141576
2,396480,137054
2,394622,137482
2,393203,140507
3,398131,138694
5,401568,136987
2,396307,137533
6,404428,133350
3,397228,138674
6,405237,138096
3,398144,138633
5,402062,137354
3,397324,139395
2,393843,137761
2,392607,143559
4,399806,142962
1,398009,136194
6,404085,135978
5,399274,138633
2,394867,137533
2,394694,141367
6,404600,136168
4,397633,144615
5,401970,141307
5,401668,139448
4,397293,141435
1,400488,135898
4,397198,143908
4,397769,144596
2,394361,137299
5,398640,137975
4,397577,143785
4,397529,140820
3,398273,137783
4,398974,142631
1,399288,134410
4,398758,145213
6,405836,136773
1,399210.55,134299.54
6,406322,135301
1,401383,135000
1,398009,137138
6,403565,132222
6,406461,135770
7,399297,129653
5,400840,139142
5,398945,138195
6,404541,136535
5,400927,137722
2,394345,137523
3,396749,138793
7,401839,130997
7,399950,129995
7,401238,132700
4,396974,143383
1,398185,135525
3,397700,137709
6,403789,132460
2,394198,137317
2,393550,140914
5,400965,138212
3,397655,138713
7,399687,129133
5,400212,137949
3,397645,139929
7,399591,130876
5,403249,138982
2,391025,140788
5,402466,139176
6,405519,135471
1,401892,135229
4,396958,141060
4,397522,146343
1,398373,134292
1,400003,137674
6,404825,136802
4,399308,143378
4,397685,141080
4,399960,143389
3,397654,137450
3,398316,138469
5,400096,137623
6,406402,135566
2,397228,137253
1,400541,136259
2,396230,137120
2,395317,139759
2,395857,136612
3,397655,138364
6,406683,137294
3,398443,139110
1,399886,136928
7,399910,131120
